Node,Max_RRC
CRMT02X,90
CRMTX,426
CRMX,145
CRN02X,88
CRNX,512
CROP02X,336
CROPX,567
CROWX,95
CRSX,147
CSA01X,36
CSA02X,86
CSFX,311
CSLA01XMA,530
CSLT01X,370
CSLT02X,75
CSLW01X,92
CSLW02X,74
CSLW03X,64
CSMS01XSC,93
CSMSX,831
CSPS01X,113
CSSTX,37
CSTIRX,199
CSTMX,168
CSTX,723
CSU01X,86
CSULX,63
CSUN01X,988
CSUP01X,459
CTA01X,419
CTAAX,1181
CTL01X,146
CVNX,82
CVTNX,56
CVULWX,103
CVULX,211
CVVX,253
CWDL01X,760
CWF01X,99
CWIX,90
CWKBRX,71
CWP02X,68
CWPK01X,477
CWPX,67
CWS02XMA,108
CWSX,75
CYOX,69
CZNT01X,30
E01ABX,512
E01ACX,578
E01AX,613
E02AA02X,33
E02AAX,285
E02AB02X,330
E02ABX,393
E02AX,650
E02BX,857
E02DX,465
E03ABX,975
E03AX,784
E04A02X,35
E04AA02X,304
E04AAX,359
E04AX,132
E05AAX,1040
E05AX,1208
E05GX,680
E06AA01X,850
E07AX,904
E07F02X,263
E07FX,1671
E07MX,891
E08A02X,373
E08AX,746
E09AX,729
E10AX,1662
E12AX,646
E14H01X,210
E16H01X,362
E20ABX,628
E20ACX,559
E20AX,737
E21A02X,36
E21AX,449
E21BX,602
E22A02X,252
E22AB02X,203
E22ABX,291
E22AC02X,111
E22ACX,377
E22AX,314
E22B01XMA,475
E22M02X,91
E22MX,641
E23AB02X,94
E23ABX,551
E23ACX,1560
E23ADX,1382
E23AE02X,253
E23AEX,268
E23AFX,891
E23AX,1775
E24A02X,312
E24AA02X,510
E24AAX,578
E24AB02X,90
E24ABX,668
E24AX,329
E24M02X,99
E24MX,850
E25A01XSC,105
E25AA02X,119
E25AAX,735
E25ABX,460
E25ACX,652
E25AD02X,359
E25ADX,483
E25AX,614
E25G02X,121
E25GX,225
E30ABX,1085
E30AC01XMA,1074
E30AX,872
E31AAX,435
E31AX,410
E32AX,979
E32DA01X,565
E32DX,1197
E33ABX,1146
E33ACX,289
E33ADX,625
E33AE01X,1034
E33AX,875
E33C02X,356
E33CX,875
E35AA02X,91
E35AAX,504
E35AB02X,132
E35ABX,215
E35AC02X,232
E35ACX,419
E35ADX,534
E35AX,785
E35M02X,88
E35MX,661
E40AAX,1362
E40AX,723
E41AA02X,401
E41AAX,468
E41AEX,2497
E41AX,2069
E41GA01X,1730
E42AAX,930
E42AB02X,274
E42ABX,216
E42AX,1153
E42M02X,79
E42MX,533
E43A01X,460
E43AAX,585
E43ABX,457
E43BAX,440
E43BC01X,359
E43BX,615
E43D01X,663
E43DA01XSC,192
E43DA02X,177
E43DA02XSC,53
E43DAX,213
E44AAX,436
E44AX,672
E45A02X,245
E45AX,406
E45CX,384
E45GA01X,492
E45GGX,284
E45GX,1718
E45M02X,62
E45MX,444
E46AAX,689
E46AX,667
E46M02X,45
E46MX,322
E47AX,577
E47CX,403
E47M02X,198
E47MX,823
E48A02X,226
E48AAX,1148
E48AX,370
E48C02X,129
E48CA02X,145
E48CAX,713
E48CBX,564
E48CL01XMA,809
E48CX,436
E49AA02X,601
E49AAX,590
